Match Date,Home Team,Home Team Score,Away Team,Away Team Score
31/01/20,Blues,29,Chiefs,37
31/01/20,Brumbies,27,Reds,24
31/01/20,Sharks,23,Bulls,15
1/02/20,Sunwolves,36,Rebels,27
1/02/20,Crusaders,43,Waratahs,25
1/02/20,Stormers,27,Hurricanes,0
1/02/20,Jaguares,38,Lions,8
07/02/20,Highlanders,20,Sharks,42
07/02/20,Brumbies,39,Rebels,26
08/02/20,Chiefs,25,Crusaders,15
08/02/20,Waratahs,12,Blues,32
08/02/20,Lions,27,Reds,20
08/02/20,Stormers,13,Bulls,0
08/02/20,Jaguares,23,Hurricanes,26
14/02/20,Blues,8,Crusaders,25
14/02/20,Rebels,24,Waratahs,10
15/02/20,Sunwolves,17,Chiefs,43
15/02/20,Hurricanes,38,Sharks,22
15/02/20,Brumbies,22,Highlanders,23
15/02/20,Lions,30,Stormers,33
15/02/20,Jaguares,43,Reds,27
21/02/20,Crusaders,33,Highlanders,13
22/02/20,Rebels,24,Sharks,36
22/02/20,Chiefs,14,Brumbies,26
22/02/20,Reds,64,Sunwolves,5
22/02/20,Stormers,17,Jaguares,7
22/02/20,Bulls,21,Blues,23
28/02/20,Highlanders,22,Rebels,28
28/02/20,Waratahs,29,Lions,17
29/02/20,Hurricanes,62,Sunwolves,15
29/02/20,Reds,23,Sharks,33
29/02/20,Stormers,14,Blues,33
29/02/20,Bulls,24,Jaguares,39
06/03/20,Sunwolves,14,Brumbies,47
06/03/20,Crusaders,24,Reds,20
06/03/20,Waratahs,14,Chiefs,51
07/03/20,Hurricanes,15,Blues,24
07/03/20,Rebels,37,Lions,17
07/03/20,Sharks,33,Jaguares,19
07/03/20,Bulls,38,Highlanders,13
13/03/20,Chiefs,24,Hurricanes,27
14/03/20,Blues,43,Lions,10
14/03/20,Sunwolves,14,Crusaders,49
14/03/20,Reds,41,Bulls,17
14/03/20,Sharks,24,Stormers,14
14/03/20,Jaguares,0,Highlanders,0
15/03/20,Brumbies,47,Waratahs,14
Match Date,Home Team,Home Team Score,Away Team,Away Team Score
31/01/20,Blues,29,Chiefs,37
31/01/20,Brumbies,27,Reds,24
31/01/20,Sharks,23,Bulls,15
1/02/20,Sunwolves,36,Rebels,27
1/02/20,Crusaders,43,Waratahs,25
1/02/20,Stormers,27,Hurricanes,0
1/02/20,Jaguares,38,Lions,8
07/02/20,Highlanders,20,Sharks,42
07/02/20,Brumbies,39,Rebels,26
08/02/20,Chiefs,25,Crusaders,15
08/02/20,Waratahs,12,Blues,32
08/02/20,Lions,27,Reds,20
08/02/20,Stormers,13,Bulls,0
08/02/20,Jaguares,23,Hurricanes,26
14/02/20,Blues,8,Crusaders,25
14/02/20,Rebels,24,Waratahs,10
15/02/20,Sunwolves,17,Chiefs,43
15/02/20,Hurricanes,38,Sharks,22
15/02/20,Brumbies,22,Highlanders,23
15/02/20,Lions,30,Stormers,33
15/02/20,Jaguares,43,Reds,27
21/02/20,Crusaders,33,Highlanders,13
22/02/20,Rebels,24,Sharks,36
22/02/20,Chiefs,14,Brumbies,26
22/02/20,Reds,64,Sunwolves,5
22/02/20,Stormers,17,Jaguares,7
22/02/20,Bulls,21,Blues,23
28/02/20,Highlanders,22,Rebels,28
28/02/20,Waratahs,29,Lions,17
29/02/20,Hurricanes,62,Sunwolves,15
29/02/20,Reds,23,Sharks,33
29/02/20,Stormers,14,Blues,33
29/02/20,Bulls,24,Jaguares,39
06/03/20,Sunwolves,14,Brumbies,47
06/03/20,Crusaders,24,Reds,20
06/03/20,Waratahs,14,Chiefs,51
07/03/20,Hurricanes,15,Blues,24
07/03/20,Rebels,37,Lions,17
07/03/20,Sharks,33,Jaguares,19
07/03/20,Bulls,38,Highlanders,13
13/03/20,Chiefs,24,Hurricanes,27
14/03/20,Blues,43,Lions,10
14/03/20,Sunwolves,14,Crusaders,49
14/03/20,Reds,41,Bulls,17
14/03/20,Sharks,24,Stormers,14
14/03/20,Jaguares,0,Highlanders,0
15/03/20,Brumbies,47,Waratahs,14
